                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61786,                0.70852,                 1.0341,                0.84344,                0.81433,                0.88527,                0.68636,                0.77583,                0.84132,                 1.0642,             0.00043325,             0.00043325,             0.00043325
                     36,                0.64388,                 0.6806,                 1.0334,                0.91245,                0.80693,                0.88429,                0.68251,                0.72575,                0.91066,                 1.0452,              0.0004085,              0.0004085,              0.0004085
                     37,                0.62746,                0.69472,                 1.0423,                0.88914,                0.80463,                0.85758,                0.67146,                0.74594,                0.91108,                 1.0684,             0.00038375,             0.00038375,             0.00038375
                     38,                 0.6195,                 0.6648,                 1.0374,                0.93686,                0.74882,                0.88739,                0.69252,                 0.7109,                0.84233,                 1.0445,               0.000359,               0.000359,               0.000359
                     39,                0.61696,                0.63858,                 1.0238,                0.91755,                0.82117,                0.90991,                0.68843,                0.71605,                0.78429,                 1.0377,             0.00033425,             0.00033425,             0.00033425
                     40,                 0.5866,                0.62413,                 1.0123,                0.86503,                0.83478,                0.89845,                0.69603,                0.68333,                 0.7857,                  1.036,              0.0003095,              0.0003095,              0.0003095
                     41,                0.58512,                0.82489,                 1.0125,                0.87025,                0.79725,                0.83049,                0.66657,                0.72237,                0.92628,                 1.0982,             0.00028475,             0.00028475,             0.00028475
                     42,                0.54579,                0.76632,                0.98529,                 0.8603,                0.77411,                0.83005,                0.66454,                0.72249,                0.91002,                 1.0985,                0.00026,                0.00026,                0.00026
                     43,                0.51471,                 0.6754,                 0.9728,                0.96342,                0.75333,                0.86066,                0.69276,                0.67264,                0.80539,                 1.0457,             0.00023525,             0.00023525,             0.00023525
                     44,                0.49348,                0.63828,                0.96478,                0.91924,                0.80521,                0.89123,                0.70271,                0.71381,                0.83503,                 1.0677,              0.0002105,              0.0002105,              0.0002105
                     45,                0.50135,                0.62638,                0.94146,                0.93533,                0.82922,                0.91123,                0.71358,                0.68031,                0.72952,                 1.0275,             0.00018575,             0.00018575,             0.00018575
                     46,                0.47624,                0.57257,                0.93124,                0.92864,                0.83528,                0.91981,                0.72239,                0.66831,                0.72088,                 1.0184,               0.000161,               0.000161,               0.000161
                     47,                0.47264,                0.58881,                0.93067,                0.93516,                0.84456,                0.92272,                0.72874,                0.64804,                 0.6942,                 1.0058,             0.00013625,             0.00013625,             0.00013625
                     48,                0.46633,                0.58873,                0.93701,                0.92194,                0.85979,                0.92231,                0.71819,                0.64678,                0.65315,                 1.0104,              0.0001115,              0.0001115,              0.0001115
                     49,                0.47522,                0.56571,                0.92745,                 0.9416,                0.84697,                0.92448,                0.72094,                0.64419,                0.65986,                 1.0097,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.46492,                0.54608,                0.92936,                0.94674,                0.83701,                0.92435,                0.72973,                0.64395,                0.66769,                  1.009,                6.2e-05,                6.2e-05,                6.2e-05
